question_index,expected_answer,answer,has_err_agent,has_err_graph,has_err_tog,has_err_instruction,has_err_other,is_kg_based_answer,kg_calls,agent_calls,reached_depth,start_timestamp,duration,exact_match,f1,is_no_answer,method,rep,model,questions
21,+157,157,0,0,0,0,0,1,4,3,1,1768674123.31728,11.282381296157835,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
22,哈茨山,Harz,0,0,0,0,0,1,13,7,3,1768674180.3258927,26.34482192993164,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
23,1,1,0,0,0,1,0,0,2,2,1,1768674231.7859907,6.903225898742676,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
24,28,13,0,0,0,1,0,0,2,2,1,1768674272.398515,6.623629093170166,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
25,18,15,0,0,0,1,0,0,2,2,1,1768674318.8116505,6.5914764404296875,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
26,7,8,0,0,0,0,0,0,17,10,3,1768674374.7860813,39.662378549575806,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
27,26,,0,0,0,1,0,0,7,5,2,1768674464.7702851,17.0849609375,0,0.0,1,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
28,0,9,0,0,0,1,0,0,11,6,2,1768674529.9791267,23.562166213989254,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
29,0,0,0,0,0,1,0,0,12,6,2,1768674605.7472403,28.39324688911438,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
30,125,7,0,0,0,1,0,0,2,2,1,1768674705.59719,6.757656097412109,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
31,0,7,0,0,1,0,0,0,10,5,2,1768674760.515886,18.675640106201172,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
32,0,4,0,0,0,0,0,1,10,6,2,1768674825.4825578,22.74640989303589,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
33,0,2,0,0,0,0,0,1,5,3,1,1768674880.9382744,13.067739486694336,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
34,12,12,0,0,0,0,0,1,4,3,1,1768674927.963344,10.631459951400757,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
35,3,9,0,0,0,1,0,0,8,5,2,1768674982.9072795,19.57316493988037,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
36,79,,0,0,0,1,0,0,10,6,2,1768675056.571251,26.691901206970215,0,0.0,1,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
37,2,2,0,0,0,0,0,1,5,3,1,1768675116.8892612,12.438260316848757,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
38,1,3,0,0,0,0,0,0,16,9,3,1768675187.5508325,33.95225524902344,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
39,189,2,0,0,0,1,0,0,2,2,1,1768675268.2503386,6.9807047843933105,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
40,12,12,0,0,0,1,0,0,8,5,2,1768675342.503037,24.475765228271484,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
41,0,At least 100,0,0,0,0,0,0,16,9,3,1768675418.2561407,34.64305758476257,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
42,5,3,0,0,0,0,0,0,17,9,3,1768675517.8678026,34.56935691833496,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
43,0,59,0,0,0,1,0,0,11,6,2,1768675605.6250262,24.4771249294281,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
44,5,4,0,0,0,0,0,1,17,8,3,1768675695.8815746,34.467615604400635,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
45,11,14,0,0,0,0,0,0,17,10,3,1768675913.317721,107.71346807479858,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
46,0,1,0,0,0,0,0,1,4,2,1,1768676053.613987,7.653536796569824,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
47,0,2,0,0,1,0,0,0,12,6,3,1768676156.8813374,22.514343738555908,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
48,0,1,0,0,0,0,0,1,4,3,1,1768676225.405218,13.120588541030884,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
49,8,,0,0,0,1,0,0,5,3,1,1768676276.260782,11.449892282485962,0,0.0,1,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
50,+111892,"The population of Funchal, Madeira, Portugal, which is the birthplace of Cristiano Ronaldo, was approximately 115,000 as of 2021.",0,0,0,1,0,0,1,2,1,1768676325.517892,6.843956232070923,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
51,3,2,0,0,0,1,0,0,3,2,1,1768676363.4608612,8.934947967529297,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
52,1,22,0,0,0,1,0,0,10,6,2,1768676429.2380874,76.49922299385071,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
53,6,3,0,0,0,0,0,1,10,6,2,1768676617.1468368,83.25829863548279,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
54,12,3,0,0,0,0,0,1,4,3,1,1768676742.2133522,11.49527621269226,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
55,0,3,0,0,0,1,0,0,5,3,1,1768676791.0222182,13.58663773536682,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
56,5,5,0,0,0,1,0,0,2,2,1,1768676839.4130204,6.612825632095337,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
57,8,3,0,0,0,0,0,1,5,3,1,1768676898.5317392,12.888901710510254,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
58,31,30,0,0,0,1,0,0,2,2,1,1768676957.6553571,6.771707534790039,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
59,17,12,0,0,0,0,0,0,16,9,3,1768677023.087271,31.15867280960083,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
60,13,13,0,0,0,1,0,0,10,6,2,1768677103.3317137,23.994121074676514,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
61,21,3,0,0,0,0,0,1,16,7,3,1768677173.290665,29.89256763458252,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
62,42,over 30,0,0,0,1,0,0,2,2,1,1768677254.5358512,7.6932213306427,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
63,13,12,0,0,0,1,0,0,4,3,1,1768677312.6471708,16.239440441131592,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
64,0,,0,0,0,1,0,0,2,2,1,1768677384.3268914,8.623993873596191,0,0.0,1,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
65,0,English,0,0,0,1,0,0,1,2,1,1768677457.966653,8.537243127822876,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
66,0,2,0,0,0,0,0,1,4,3,1,1768677502.102393,11.654690980911257,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
67,1,8,0,0,0,1,0,0,5,3,1,1768677559.200888,13.547350645065308,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
68,663,,0,0,0,1,0,0,3,2,1,1768677626.524559,8.660239934921265,0,0.0,1,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
69,+6,8,0,0,0,0,0,1,4,2,1,1768677683.6556172,7.199925184249878,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
70,1,2,0,1,0,0,0,0,1,1,1,1768677744.0503478,36.82138013839722,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
71,+45000000,"55,000,000",0,0,0,0,0,1,10,5,2,1768677809.7192166,18.45201873779297,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
72,117,118,0,1,0,0,0,0,1,1,1,1768677848.2955463,1.5049796104431152,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
73,15481363,Approximately 160 million,0,0,0,1,0,0,5,3,1,1768677869.7880583,10.613607168197632,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
74,21,12,0,0,0,0,0,1,17,9,3,1768677956.0131392,38.44046664237976,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
75,1,38,0,0,0,1,0,0,9,5,2,1768678104.333917,21.570082426071167,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
76,3,over 300,0,0,0,1,0,0,6,3,1,1768678181.5044792,12.338963747024536,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
77,0,Over 30,0,0,0,1,0,0,5,3,1,1768678248.2534983,11.155203104019163,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
78,4,3,0,0,0,0,0,1,10,6,2,1768678386.3428826,81.58876419067383,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
79,5,5,0,0,0,1,0,0,2,2,1,1768678490.5622375,6.700773239135742,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
80,359,165,0,1,0,0,0,0,1,1,1,1768678525.2936957,1.5328400135040283,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
81,+3,3,0,0,0,0,0,1,4,2,1,1768678589.4213662,6.027629613876343,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
82,+709,630,0,0,0,0,0,1,4,3,1,1768678621.533283,10.887006282806396,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
83,3,2,0,0,0,1,0,0,4,3,1,1768678656.5545068,10.10254979133606,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
84,215,There are currently over 300 ski resorts in France.,0,0,0,1,0,0,2,2,1,1768678703.9760122,8.47078275680542,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
85,0,,0,0,1,0,0,0,12,5,2,1768678763.665881,18.276046752929688,0,0.0,1,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
86,1,57,0,0,0,1,0,0,8,5,2,1768678838.6519787,19.378026485443115,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
87,8,4,0,0,0,0,0,1,10,5,2,1768678898.0559795,25.391952753067017,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
88,0,3,0,0,0,1,0,0,11,6,2,1768678967.2359369,23.4376118183136,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
89,2,0,0,0,0,1,0,0,2,2,1,1768679030.4075692,6.903239011764526,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
90,0,4,0,0,0,1,0,0,11,6,2,1768679097.0819075,36.07415986061096,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
91,4,5,0,0,0,1,0,0,2,2,1,1768679179.206407,8.26127314567566,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
92,0,0,0,0,0,0,0,1,15,9,3,1768679260.4428158,38.83191704750061,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
93,common bottlenose dolphin,common bottlenose dolphin,0,0,0,1,0,0,2,2,1,1768679338.5103252,7.205945730209351,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
94,gene,TNF alpha induced protein 1,0,0,0,0,0,1,4,2,1,1768679391.3292778,7.703717231750488,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
95,0,3,0,0,0,1,0,0,5,3,1,1768679436.8958535,10.764169931411743,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
96,2,2,0,0,0,0,0,1,4,3,1,1768679491.0337029,12.703357934951782,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
97,0,6,0,0,0,1,0,0,5,3,1,1768679535.1314497,11.307233810424805,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
98,30,29,0,0,0,1,0,0,4,3,1,1768679585.6376257,16.55353093147278,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
99,1,2,0,0,0,1,0,0,3,2,1,1768679627.5713403,7.000856399536133,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
100,Naruhito,Fumio Kishida,0,0,0,1,0,0,11,8,3,1768679705.5945969,31.561049461364743,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
101,3,17,0,0,0,1,0,0,3,2,1,1768679778.7083127,7.829668283462524,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
102,North Rhine-Westphalia,North Rhine-Westphalia,0,0,0,0,0,1,5,3,1,1768679846.0283585,12.441221714019775,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
103,Yankee Stadium,Yankee Stadium,0,0,0,0,0,1,4,3,1,1768679898.6439595,11.226792335510254,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
104,People's Republic of China; India; Myanmar; Nepal; Pakistan; Afghanistan,"India, Nepal, Bhutan, Pakistan, Afghanistan, China",0,0,0,1,0,0,4,3,1,1768679933.0225065,11.72270941734314,0,0.6666666666666667,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
105,0,55,0,0,0,1,0,0,8,5,2,1768680026.7067618,25.570712327957153,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
106,United States of America,United States,0,0,0,0,0,1,5,3,1,1768680086.9415598,11.740318059921265,0,0.6666666666666666,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
107,15,3,0,0,0,1,0,0,10,6,2,1768680183.7670808,57.35627102851868,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
108,Austria,Austria,0,0,0,0,0,1,4,1,1,1768680261.8392477,2.310685634613037,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
109,Sweden,Sweden,0,0,0,1,0,0,1,2,1,1768680289.1256597,5.237936735153198,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
110,vogue,vogue,0,0,0,0,0,1,4,2,1,1768680326.8998222,8.3997061252594,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
111,ja,English,0,0,0,0,0,1,4,3,1,1768680390.3926525,15.392780780792236,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
112,71,over 100,0,0,0,1,0,0,5,3,1,1768680441.61894,12.735263347625732,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
113,1981,1981,0,0,0,0,0,1,4,2,1,1768680501.091157,6.6043901443481445,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
114,1990,1980,0,0,0,1,0,0,10,5,2,1768680553.872158,17.471509218215942,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
115,original work,adaptation,0,0,0,0,0,1,6,3,1,1768680596.4996214,13.435988426208496,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
116,0,40,0,1,0,0,0,0,1,1,1,1768680684.9130375,36.212382316589355,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
117,130,17,0,1,0,0,0,0,1,1,1,1768680758.1236582,1.5332911014556885,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
118,0,0,0,0,0,1,0,0,2,2,1,1768680778.72797,8.045494794845581,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
119,7,4,0,1,0,0,0,0,4,2,1,1768680840.604277,66.2434778213501,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
120,The Greens,Social Democratic Party of Germany,0,0,0,1,0,0,1,2,1,1768680947.345545,5.9835662841796875,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
121,1960,1960,0,0,0,0,0,1,4,2,1,1768680974.6175191,6.910517454147339,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
122,Crunchyroll; Hulu,"Crunchyroll, Netflix, Hulu, Amazon Prime Video",0,0,0,1,0,0,2,2,1,1768681002.0044,6.4643330574035645,0,0.5,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
123,77,people born between 1928 and 1945,0,0,0,0,0,1,15,7,3,1768681065.2715907,26.100958585739136,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
124,1975,1932,0,0,0,1,0,0,10,6,2,1768681138.4595895,29.35714030265808,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
125,Dwayne Johnson; Gal Gadot; Ryan Reynolds; Chris Diamantopoulos; Ritu Arya,"Dwayne Johnson, Ryan Reynolds, Gal Gadot, Rande Gerber, Ariana Greenblatt, Tracy Morgan, Jimmy O. Yang, Bow Wow, Sergei Kolesnikov, Yevgeni Lazarev, Oleg Taktarov, Merrin Dungey, Daniel Kaluuya, Pete Davidson",0,0,0,1,0,0,11,6,2,1768681225.9168277,28.763211727142338,0,0.3076923076923077,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
126,Jay,Jay,0,0,0,0,0,0,17,10,3,1768681321.9597807,37.3153088092804,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
127,Germany; Ukraine; Slovakia; Moldova; Romania; Bulgaria; Croatia; Hungary; Austria; Serbia,"Germany, Austria, Slovakia, Hungary, Croatia, Serbia, Bulgaria, Romania, Moldova, Ukraine",0,0,0,1,0,0,4,3,1,1768681439.8949914,13.93321657180786,0,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
128,Teuthida,Teuthida,0,0,0,0,0,1,4,2,1,1768681480.4164734,7.141482353210449,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
129,beta,Beta,0,0,0,1,0,0,5,3,1,1768681514.1209266,11.371661186218262,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
130,Better Call Saul; El Camino: A Breaking Bad Movie,"Better Call Saul, El Camino: A Breaking Bad Movie",0,0,0,1,0,0,4,3,1,1768681557.2407837,11.275179624557495,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
131,Colorado River,Colorado River,0,0,1,0,0,0,12,7,3,1768681619.9450831,24.29374122619629,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
132,exhumation,exhumation,0,0,0,0,0,1,4,3,1,1768681684.9980872,13.024532556533812,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
133,13th German Bundestag,German Federal Government,0,0,0,1,0,0,3,2,1,1768681746.8004365,8.548166036605835,0,0.3333333333333333,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
134,Soziolinguistik; Patholinguistik; Genderlinguistik; Rechtslinguistik; Ethnolinguistik; Interlinguistik,"Anglistik, Germanistik, Indogermanistik, Iranistik, Keltologie, Linguistik, Orientalistik, Slawistik, Sprachwissenschaft",0,0,0,0,0,0,16,10,3,1768681834.0721347,35.19235682487488,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
135,Frank-Walter Steinmeier; Emmanuel Macron,Frank-Walter Steinmeier and Emmanuel Macron,0,0,0,1,0,0,2,2,1,1768681910.5578198,10.993667840957642,0,0.888888888888889,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
136,singer; screenwriter; actor; composer; pianist; singer-songwriter; poet; guitarist; photographer; recording artist; musician,"Musician, Musician",0,1,0,0,0,0,2,1,1,1768681959.24234,35.67785429954529,0,0.14285714285714285,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
137,Star Wars Episode I: The Phantom Menace; Star Wars; Star Wars: Episode II – Attack of the Clones; Star Wars: Episode V – The Empire Strikes Back; Star Wars Episode VI: Return of the Jedi; Star Wars: The Last Jedi; Star Wars: The Rise of Skywalker; Star Wars Episode III: Revenge of the Sith; Star Wars: The Force Awakens,"Star Wars: The Original Trilogy, Star Wars: The Prequel Trilogy, Star Wars: The Sequel Trilogy",0,0,0,0,0,1,11,5,2,1768682037.328161,20.486719846725464,0,0.19047619047619047,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
138,The Flintstones,The Flintstones,0,0,0,0,0,1,5,2,1,1768682105.2877004,8.740192174911499,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
139,gold; black; red,"black, red, gold",0,0,0,0,0,1,4,3,1,1768682160.1377563,10.347754716873167,0,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
140,women's suffrage,women's suffrage,0,0,0,0,0,1,4,3,1,1768682201.149327,12.632367372512816,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
141,empress,empress,0,0,0,0,0,1,4,3,1,1768682247.7165418,12.427635431289673,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
142,1918-1920 flu pandemic,Spanish Flu pandemic,0,0,1,0,0,0,10,7,3,1768682303.0512445,23.45187926292419,0,0.6666666666666666,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
143,extinction,"The dinosaurs became extinct at the end of the Cretaceous period, likely due to a combination of factors including a massive asteroid impact and intense volcanic activity.",0,0,0,1,0,0,10,6,2,1768682374.301792,26.323764324188232,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
144,voice; cornet; trumpet,"voice, cornet, trumpet",0,0,0,0,0,1,4,3,1,1768682435.166503,11.983148574829102,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
145,stab wound,bleeding,0,0,0,0,0,1,10,5,2,1768682491.5261142,20.676487922668457,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
146,male,male,0,0,0,1,0,0,1,2,1,1768682540.3150048,6.290584087371826,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
147,Shinjuku,Tokyo,0,0,1,0,0,0,4,4,2,1768682642.975808,70.39712333679199,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
148,Tiger,Tiger,0,0,0,0,0,1,5,3,1,1768682740.8616202,11.053586483001707,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
149,0,,0,0,0,1,0,0,7,5,2,1768682808.327495,21.48988890647888,0,0.0,1,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
150,Point(114.054 22.535),"22.5431° N, 114.0579° E",0,0,0,1,0,0,1,2,1,1768682871.2235842,6.350785255432129,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
151,research,A set of demands issued by Czech nationalists in 1848,0,0,0,1,0,0,5,3,2,1768682910.3196132,9.245875358581545,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
152,+385000,385000,0,0,0,0,0,1,4,2,1,1768682944.9052324,6.79532790184021,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
153,middle school student,high school student,0,0,0,0,0,1,6,3,1,1768682986.079726,12.190192222595217,0,0.6666666666666666,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
